,Year,Division,All,PK,KG,1,2,3,4,5,6,7,8,9,10,11,12
83,2018 - 2019,Newport News City Public Schools,28654.0,1465.0,2124.0,2215.0,2205.0,2199.0,2239.0,2258.0,2226.0,2044.0,1973.0,2126.0,1973.0,1791.0,1816.0
84,2018 - 2019,Norfolk City Public Schools,30105.0,1904.0,2495.0,2507.0,2409.0,2299.0,2359.0,2311.0,2278.0,2014.0,1970.0,2813.0,1803.0,1350.0,1575.0
85,2018 - 2019,Northampton County Public Schools,1607.0,86.0,115.0,98.0,137.0,125.0,109.0,117.0,116.0,125.0,115.0,131.0,109.0,107.0,117.0
86,2018 - 2019,Northumberland County Public Schools,1315.0,68.0,101.0,81.0,88.0,85.0,96.0,94.0,87.0,92.0,109.0,109.0,105.0,94.0,106.0
87,2018 - 2019,Norton City Public Schools,842.0,52.0,65.0,51.0,55.0,60.0,67.0,63.0,60.0,61.0,66.0,81.0,62.0,46.0,53.0
88,2018 - 2019,Nottoway County Public Schools,2043.0,84.0,152.0,145.0,149.0,133.0,153.0,140.0,167.0,154.0,153.0,187.0,169.0,132.0,125.0
89,2018 - 2019,Orange County Public Schools,5044.0,247.0,354.0,358.0,395.0,336.0,371.0,367.0,402.0,360.0,354.0,407.0,368.0,348.0,377.0
90,2018 - 2019,Page County Public Schools,3332.0,94.0,223.0,218.0,199.0,213.0,257.0,259.0,221.0,282.0,262.0,298.0,269.0,261.0,276.0
91,2018 - 2019,Patrick County Public Schools,2601.0,73.0,278.0,340.0,176.0,164.0,154.0,184.0,167.0,190.0,183.0,187.0,192.0,141.0,172.0
92,2018 - 2019,Petersburg City Public Schools,4196.0,392.0,358.0,325.0,359.0,335.0,334.0,296.0,293.0,257.0,242.0,270.0,224.0,256.0,255.0
93,2018 - 2019,Pittsylvania County Public Schools,8846.0,261.0,590.0,574.0,599.0,577.0,660.0,687.0,663.0,727.0,691.0,800.0,716.0,622.0,679.0
94,2018 - 2019,Poquoson City Public Schools,2139.0,20.0,135.0,149.0,153.0,128.0,151.0,182.0,162.0,162.0,183.0,194.0,188.0,163.0,169.0
95,2018 - 2019,Portsmouth City Public Schools,14006.0,562.0,1124.0,1134.0,1120.0,1161.0,1082.0,1089.0,1054.0,910.0,963.0,1060.0,962.0,867.0,918.0
