Year,Level,Division,Grade,Count
2018 - 2019,DIV,Buena Vista City Public Schools,KG,72
2018 - 2019,DIV,Buena Vista City Public Schools,1,70
2018 - 2019,DIV,Buena Vista City Public Schools,2,57
2018 - 2019,DIV,Buena Vista City Public Schools,3,60
2018 - 2019,DIV,Buena Vista City Public Schools,4,63
2018 - 2019,DIV,Buena Vista City Public Schools,5,60
2018 - 2019,DIV,Buena Vista City Public Schools,6,62
2018 - 2019,DIV,Buena Vista City Public Schools,7,52
2018 - 2019,DIV,Buena Vista City Public Schools,8,78
2018 - 2019,DIV,Buena Vista City Public Schools,9,77
2018 - 2019,DIV,Buena Vista City Public Schools,10,74
2018 - 2019,DIV,Buena Vista City Public Schools,11,60
2018 - 2019,DIV,Buena Vista City Public Schools,12,100
2018 - 2019,DIV,Campbell County Public Schools,,7891
2018 - 2019,DIV,Campbell County Public Schools,PK,221
2018 - 2019,DIV,Campbell County Public Schools,KG,541
2018 - 2019,DIV,Campbell County Public Schools,1,551
2018 - 2019,DIV,Campbell County Public Schools,2,563
2018 - 2019,DIV,Campbell County Public Schools,3,592
2018 - 2019,DIV,Campbell County Public Schools,4,546
2018 - 2019,DIV,Campbell County Public Schools,5,621
2018 - 2019,DIV,Campbell County Public Schools,6,645
2018 - 2019,DIV,Campbell County Public Schools,7,595
2018 - 2019,DIV,Campbell County Public Schools,8,569
2018 - 2019,DIV,Campbell County Public Schools,9,662
2018 - 2019,DIV,Campbell County Public Schools,10,606
2018 - 2019,DIV,Campbell County Public Schools,11,586
2018 - 2019,DIV,Campbell County Public Schools,12,593
2018 - 2019,DIV,Caroline County Public Schools,,4214
2018 - 2019,DIV,Caroline County Public Schools,PK,115
2018 - 2019,DIV,Caroline County Public Schools,KG,335
2018 - 2019,DIV,Caroline County Public Schools,1,327
2018 - 2019,DIV,Caroline County Public Schools,2,352
2018 - 2019,DIV,Caroline County Public Schools,3,322
2018 - 2019,DIV,Caroline County Public Schools,4,333
2018 - 2019,DIV,Caroline County Public Schools,5,324
2018 - 2019,DIV,Caroline County Public Schools,6,307
2018 - 2019,DIV,Caroline County Public Schools,7,312
2018 - 2019,DIV,Caroline County Public Schools,8,308
2018 - 2019,DIV,Caroline County Public Schools,9,342
2018 - 2019,DIV,Caroline County Public Schools,10,299
2018 - 2019,DIV,Caroline County Public Schools,11,262
2018 - 2019,DIV,Caroline County Public Schools,12,276
2018 - 2019,DIV,Carroll County Public Schools,,3762
2018 - 2019,DIV,Carroll County Public Schools,PK,137
2018 - 2019,DIV,Carroll County Public Schools,KG,288
2018 - 2019,DIV,Carroll County Public Schools,1,271
2018 - 2019,DIV,Carroll County Public Schools,2,263
2018 - 2019,DIV,Carroll County Public Schools,3,257
2018 - 2019,DIV,Carroll County Public Schools,4,287
2018 - 2019,DIV,Carroll County Public Schools,5,289
2018 - 2019,DIV,Carroll County Public Schools,6,281
2018 - 2019,DIV,Carroll County Public Schools,7,282
2018 - 2019,DIV,Carroll County Public Schools,8,306
2018 - 2019,DIV,Carroll County Public Schools,9,276
2018 - 2019,DIV,Carroll County Public Schools,10,294
2018 - 2019,DIV,Carroll County Public Schools,11,259
2018 - 2019,DIV,Carroll County Public Schools,12,272
2018 - 2019,DIV,Charles City County Public Schools,,633
2018 - 2019,DIV,Charles City County Public Schools,PK,41
2018 - 2019,DIV,Charles City County Public Schools,KG,36
2018 - 2019,DIV,Charles City County Public Schools,1,53
2018 - 2019,DIV,Charles City County Public Schools,2,41
2018 - 2019,DIV,Charles City County Public Schools,3,44
2018 - 2019,DIV,Charles City County Public Schools,4,43
2018 - 2019,DIV,Charles City County Public Schools,5,36
2018 - 2019,DIV,Charles City County Public Schools,6,36
2018 - 2019,DIV,Charles City County Public Schools,7,51
2018 - 2019,DIV,Charles City County Public Schools,8,61
2018 - 2019,DIV,Charles City County Public Schools,9,39
2018 - 2019,DIV,Charles City County Public Schools,10,47
2018 - 2019,DIV,Charles City County Public Schools,11,60
2018 - 2019,DIV,Charles City County Public Schools,12,45
2018 - 2019,DIV,Charlotte County Public Schools,,1850
2018 - 2019,DIV,Charlotte County Public Schools,PK,79
2018 - 2019,DIV,Charlotte County Public Schools,KG,154
2018 - 2019,DIV,Charlotte County Public Schools,1,136
2018 - 2019,DIV,Charlotte County Public Schools,2,142
2018 - 2019,DIV,Charlotte County Public Schools,3,121
2018 - 2019,DIV,Charlotte County Public Schools,4,140
2018 - 2019,DIV,Charlotte County Public Schools,5,137
2018 - 2019,DIV,Charlotte County Public Schools,6,124
2018 - 2019,DIV,Charlotte County Public Schools,7,142
2018 - 2019,DIV,Charlotte County Public Schools,8,145
2018 - 2019,DIV,Charlotte County Public Schools,9,164
2018 - 2019,DIV,Charlotte County Public Schools,10,138
2018 - 2019,DIV,Charlotte County Public Schools,11,113
2018 - 2019,DIV,Charlotte County Public Schools,12,115
2018 - 2019,DIV,Charlottesville City Public Schools,,4561
2018 - 2019,DIV,Charlottesville City Public Schools,PK,224
2018 - 2019,DIV,Charlottesville City Public Schools,KG,387
2018 - 2019,DIV,Charlottesville City Public Schools,1,426
2018 - 2019,DIV,Charlottesville City Public Schools,2,379
2018 - 2019,DIV,Charlottesville City Public Schools,3,395
2018 - 2019,DIV,Charlottesville City Public Schools,4,360
2018 - 2019,DIV,Charlottesville City Public Schools,5,365
2018 - 2019,DIV,Charlottesville City Public Schools,6,291
2018 - 2019,DIV,Charlottesville City Public Schools,7,270
2018 - 2019,DIV,Charlottesville City Public Schools,8,266
2018 - 2019,DIV,Charlottesville City Public Schools,9,348
2018 - 2019,DIV,Charlottesville City Public Schools,10,304
2018 - 2019,DIV,Charlottesville City Public Schools,11,282
2018 - 2019,DIV,Charlottesville City Public Schools,12,264
2018 - 2019,DIV,Chesapeake City Public Schools,,40898
