Year,Level,Division,Grade,Count
2018 - 2019,DIV,Danville City Public Schools,1,455
2018 - 2019,DIV,Danville City Public Schools,2,445
2018 - 2019,DIV,Danville City Public Schools,3,402
2018 - 2019,DIV,Danville City Public Schools,4,491
2018 - 2019,DIV,Danville City Public Schools,5,457
2018 - 2019,DIV,Danville City Public Schools,6,412
2018 - 2019,DIV,Danville City Public Schools,7,423
2018 - 2019,DIV,Danville City Public Schools,8,389
2018 - 2019,DIV,Danville City Public Schools,9,450
2018 - 2019,DIV,Danville City Public Schools,10,480
2018 - 2019,DIV,Danville City Public Schools,11,341
2018 - 2019,DIV,Danville City Public Schools,12,284
2018 - 2019,DIV,Department of Juvenile Justice,,110
2018 - 2019,DIV,Department of Juvenile Justice,7,1
2018 - 2019,DIV,Department of Juvenile Justice,8,5
2018 - 2019,DIV,Department of Juvenile Justice,9,24
2018 - 2019,DIV,Department of Juvenile Justice,10,31
2018 - 2019,DIV,Department of Juvenile Justice,11,20
2018 - 2019,DIV,Department of Juvenile Justice,12,29
2018 - 2019,DIV,Dickenson County Public Schools,,2054
2018 - 2019,DIV,Dickenson County Public Schools,PK,88
2018 - 2019,DIV,Dickenson County Public Schools,KG,161
2018 - 2019,DIV,Dickenson County Public Schools,1,152
2018 - 2019,DIV,Dickenson County Public Schools,2,160
2018 - 2019,DIV,Dickenson County Public Schools,3,123
2018 - 2019,DIV,Dickenson County Public Schools,4,163
2018 - 2019,DIV,Dickenson County Public Schools,5,158
2018 - 2019,DIV,Dickenson County Public Schools,6,148
2018 - 2019,DIV,Dickenson County Public Schools,7,163
2018 - 2019,DIV,Dickenson County Public Schools,8,157
2018 - 2019,DIV,Dickenson County Public Schools,9,161
2018 - 2019,DIV,Dickenson County Public Schools,10,144
2018 - 2019,DIV,Dickenson County Public Schools,11,142
2018 - 2019,DIV,Dickenson County Public Schools,12,134
2018 - 2019,DIV,Dinwiddie County Public Schools,,4379
2018 - 2019,DIV,Dinwiddie County Public Schools,PK,36
2018 - 2019,DIV,Dinwiddie County Public Schools,KG,338
2018 - 2019,DIV,Dinwiddie County Public Schools,1,327
2018 - 2019,DIV,Dinwiddie County Public Schools,2,336
2018 - 2019,DIV,Dinwiddie County Public Schools,3,327
2018 - 2019,DIV,Dinwiddie County Public Schools,4,337
2018 - 2019,DIV,Dinwiddie County Public Schools,5,350
2018 - 2019,DIV,Dinwiddie County Public Schools,6,330
2018 - 2019,DIV,Dinwiddie County Public Schools,7,352
2018 - 2019,DIV,Dinwiddie County Public Schools,8,316
2018 - 2019,DIV,Dinwiddie County Public Schools,9,376
2018 - 2019,DIV,Dinwiddie County Public Schools,10,341
2018 - 2019,DIV,Dinwiddie County Public Schools,11,311
2018 - 2019,DIV,Dinwiddie County Public Schools,12,302
2018 - 2019,DIV,Essex County Public Schools,,1322
2018 - 2019,DIV,Essex County Public Schools,PK,36
2018 - 2019,DIV,Essex County Public Schools,KG,80
2018 - 2019,DIV,Essex County Public Schools,1,97
2018 - 2019,DIV,Essex County Public Schools,2,86
2018 - 2019,DIV,Essex County Public Schools,3,99
2018 - 2019,DIV,Essex County Public Schools,4,103
2018 - 2019,DIV,Essex County Public Schools,5,102
2018 - 2019,DIV,Essex County Public Schools,6,99
2018 - 2019,DIV,Essex County Public Schools,7,97
2018 - 2019,DIV,Essex County Public Schools,8,107
2018 - 2019,DIV,Essex County Public Schools,9,105
2018 - 2019,DIV,Essex County Public Schools,10,115
2018 - 2019,DIV,Essex County Public Schools,11,101
2018 - 2019,DIV,Essex County Public Schools,12,95
2018 - 2019,DIV,Fairfax County Public Schools,,187830
2018 - 2019,DIV,Fairfax County Public Schools,PK,3989
2018 - 2019,DIV,Fairfax County Public Schools,KG,13012
2018 - 2019,DIV,Fairfax County Public Schools,1,13231
2018 - 2019,DIV,Fairfax County Public Schools,2,13648
2018 - 2019,DIV,Fairfax County Public Schools,3,13607
2018 - 2019,DIV,Fairfax County Public Schools,4,13906
2018 - 2019,DIV,Fairfax County Public Schools,5,14657
2018 - 2019,DIV,Fairfax County Public Schools,6,14250
2018 - 2019,DIV,Fairfax County Public Schools,7,14242
2018 - 2019,DIV,Fairfax County Public Schools,8,14141
2018 - 2019,DIV,Fairfax County Public Schools,9,14941
2018 - 2019,DIV,Fairfax County Public Schools,10,14565
2018 - 2019,DIV,Fairfax County Public Schools,11,14958
2018 - 2019,DIV,Fairfax County Public Schools,12,14683
2018 - 2019,DIV,Falls Church City Public Schools,,2621
2018 - 2019,DIV,Falls Church City Public Schools,PK,70
2018 - 2019,DIV,Falls Church City Public Schools,KG,165
2018 - 2019,DIV,Falls Church City Public Schools,1,180
2018 - 2019,DIV,Falls Church City Public Schools,2,189
2018 - 2019,DIV,Falls Church City Public Schools,3,188
2018 - 2019,DIV,Falls Church City Public Schools,4,175
2018 - 2019,DIV,Falls Church City Public Schools,5,230
2018 - 2019,DIV,Falls Church City Public Schools,6,194
2018 - 2019,DIV,Falls Church City Public Schools,7,209
2018 - 2019,DIV,Falls Church City Public Schools,8,196
2018 - 2019,DIV,Falls Church City Public Schools,9,220
2018 - 2019,DIV,Falls Church City Public Schools,10,201
2018 - 2019,DIV,Falls Church City Public Schools,11,196
2018 - 2019,DIV,Falls Church City Public Schools,12,208
2018 - 2019,DIV,Fauquier County Public Schools,,11189
2018 - 2019,DIV,Fauquier County Public Schools,PK,141
2018 - 2019,DIV,Fauquier County Public Schools,KG,722
2018 - 2019,DIV,Fauquier County Public Schools,1,783
2018 - 2019,DIV,Fauquier County Public Schools,2,775
2018 - 2019,DIV,Fauquier County Public Schools,3,775
2018 - 2019,DIV,Fauquier County Public Schools,4,768
2018 - 2019,DIV,Fauquier County Public Schools,5,873
2018 - 2019,DIV,Fauquier County Public Schools,6,837
2018 - 2019,DIV,Fauquier County Public Schools,7,875
2018 - 2019,DIV,Fauquier County Public Schools,8,848
2018 - 2019,DIV,Fauquier County Public Schools,9,981
2018 - 2019,DIV,Fauquier County Public Schools,10,894
2018 - 2019,DIV,Fauquier County Public Schools,11,937
2018 - 2019,DIV,Fauquier County Public Schools,12,980
2018 - 2019,DIV,Floyd County Public Schools,,1975
2018 - 2019,DIV,Floyd County Public Schools,PK,65
2018 - 2019,DIV,Floyd County Public Schools,KG,132
2018 - 2019,DIV,Floyd County Public Schools,1,129
2018 - 2019,DIV,Floyd County Public Schools,2,133
2018 - 2019,DIV,Floyd County Public Schools,3,146
2018 - 2019,DIV,Floyd County Public Schools,4,127
2018 - 2019,DIV,Floyd County Public Schools,5,142
2018 - 2019,DIV,Floyd County Public Schools,6,169
2018 - 2019,DIV,Floyd County Public Schools,7,139
2018 - 2019,DIV,Floyd County Public Schools,8,155
2018 - 2019,DIV,Floyd County Public Schools,9,179
2018 - 2019,DIV,Floyd County Public Schools,10,150
2018 - 2019,DIV,Floyd County Public Schools,11,152
2018 - 2019,DIV,Floyd County Public Schools,12,157
2018 - 2019,DIV,Fluvanna County Public Schools,,3590
2018 - 2019,DIV,Fluvanna County Public Schools,PK,86
2018 - 2019,DIV,Fluvanna County Public Schools,KG,215
2018 - 2019,DIV,Fluvanna County Public Schools,1,235
2018 - 2019,DIV,Fluvanna County Public Schools,2,234
2018 - 2019,DIV,Fluvanna County Public Schools,3,223
2018 - 2019,DIV,Fluvanna County Public Schools,4,260
2018 - 2019,DIV,Fluvanna County Public Schools,5,289
2018 - 2019,DIV,Fluvanna County Public Schools,6,286
2018 - 2019,DIV,Fluvanna County Public Schools,7,298
2018 - 2019,DIV,Fluvanna County Public Schools,8,303
2018 - 2019,DIV,Fluvanna County Public Schools,9,334
2018 - 2019,DIV,Fluvanna County Public Schools,10,276
2018 - 2019,DIV,Fluvanna County Public Schools,11,294
2018 - 2019,DIV,Fluvanna County Public Schools,12,257
2018 - 2019,DIV,Franklin City Public Schools,,1075
2018 - 2019,DIV,Franklin City Public Schools,PK,65
2018 - 2019,DIV,Franklin City Public Schools,KG,76
2018 - 2019,DIV,Franklin City Public Schools,1,84
2018 - 2019,DIV,Franklin City Public Schools,2,75
2018 - 2019,DIV,Franklin City Public Schools,3,90
2018 - 2019,DIV,Franklin City Public Schools,4,78
2018 - 2019,DIV,Franklin City Public Schools,5,80
2018 - 2019,DIV,Franklin City Public Schools,6,74
2018 - 2019,DIV,Franklin City Public Schools,7,70
2018 - 2019,DIV,Franklin City Public Schools,8,79
2018 - 2019,DIV,Franklin City Public Schools,9,90
2018 - 2019,DIV,Franklin City Public Schools,10,84
2018 - 2019,DIV,Franklin City Public Schools,11,57
2018 - 2019,DIV,Franklin City Public Schools,12,73
2018 - 2019,DIV,Franklin County Public Schools,,7062
2018 - 2019,DIV,Franklin County Public Schools,PK,261
2018 - 2019,DIV,Franklin County Public Schools,KG,506
2018 - 2019,DIV,Franklin County Public Schools,1,490
2018 - 2019,DIV,Franklin County Public Schools,2,483
2018 - 2019,DIV,Franklin County Public Schools,3,507
2018 - 2019,DIV,Franklin County Public Schools,4,572
2018 - 2019,DIV,Franklin County Public Schools,5,565
2018 - 2019,DIV,Franklin County Public Schools,6,526
2018 - 2019,DIV,Franklin County Public Schools,7,550
2018 - 2019,DIV,Franklin County Public Schools,8,519
2018 - 2019,DIV,Franklin County Public Schools,9,569
2018 - 2019,DIV,Franklin County Public Schools,10,532
2018 - 2019,DIV,Franklin County Public Schools,11,464
2018 - 2019,DIV,Franklin County Public Schools,12,518
2018 - 2019,DIV,Frederick County Public Schools,,13627
2018 - 2019,DIV,Frederick County Public Schools,PK,119
2018 - 2019,DIV,Frederick County Public Schools,KG,993
2018 - 2019,DIV,Frederick County Public Schools,1,958
2018 - 2019,DIV,Frederick County Public Schools,2,954
2018 - 2019,DIV,Frederick County Public Schools,3,989
2018 - 2019,DIV,Frederick County Public Schools,4,1037
2018 - 2019,DIV,Frederick County Public Schools,5,1050
2018 - 2019,DIV,Frederick County Public Schools,6,1128
2018 - 2019,DIV,Frederick County Public Schools,7,1071
2018 - 2019,DIV,Frederick County Public Schools,8,1044
2018 - 2019,DIV,Frederick County Public Schools,9,1142
2018 - 2019,DIV,Frederick County Public Schools,10,1108
2018 - 2019,DIV,Frederick County Public Schools,11,993
2018 - 2019,DIV,Frederick County Public Schools,12,1041
2018 - 2019,DIV,Fredericksburg City Public Schools,,3711
2018 - 2019,DIV,Fredericksburg City Public Schools,PG,1
2018 - 2019,DIV,Fredericksburg City Public Schools,PK,185
2018 - 2019,DIV,Fredericksburg City Public Schools,KG,340
2018 - 2019,DIV,Fredericksburg City Public Schools,1,302
2018 - 2019,DIV,Fredericksburg City Public Schools,2,274
2018 - 2019,DIV,Fredericksburg City Public Schools,3,266
2018 - 2019,DIV,Fredericksburg City Public Schools,4,273
2018 - 2019,DIV,Fredericksburg City Public Schools,5,296
2018 - 2019,DIV,Fredericksburg City Public Schools,6,278
2018 - 2019,DIV,Fredericksburg City Public Schools,7,243
2018 - 2019,DIV,Fredericksburg City Public Schools,8,242
2018 - 2019,DIV,Fredericksburg City Public Schools,9,286
2018 - 2019,DIV,Fredericksburg City Public Schools,10,231
2018 - 2019,DIV,Fredericksburg City Public Schools,11,254
2018 - 2019,DIV,Fredericksburg City Public Schools,12,240
2018 - 2019,DIV,Galax City Public Schools,,1321
2018 - 2019,DIV,Galax City Public Schools,PK,60
2018 - 2019,DIV,Galax City Public Schools,KG,109
2018 - 2019,DIV,Galax City Public Schools,1,100
2018 - 2019,DIV,Galax City Public Schools,2,94
2018 - 2019,DIV,Galax City Public Schools,3,100
2018 - 2019,DIV,Galax City Public Schools,4,115
2018 - 2019,DIV,Galax City Public Schools,5,100
2018 - 2019,DIV,Galax City Public Schools,6,109
2018 - 2019,DIV,Galax City Public Schools,7,84
2018 - 2019,DIV,Galax City Public Schools,8,99
2018 - 2019,DIV,Galax City Public Schools,9,81
2018 - 2019,DIV,Galax City Public Schools,10,82
2018 - 2019,DIV,Galax City Public Schools,11,90
2018 - 2019,DIV,Galax City Public Schools,12,98
2018 - 2019,DIV,Giles County Public Schools,,2448
2018 - 2019,DIV,Giles County Public Schools,PK,89
2018 - 2019,DIV,Giles County Public Schools,KG,193
2018 - 2019,DIV,Giles County Public Schools,1,200
2018 - 2019,DIV,Giles County Public Schools,2,164
2018 - 2019,DIV,Giles County Public Schools,3,160
2018 - 2019,DIV,Giles County Public Schools,4,167
2018 - 2019,DIV,Giles County Public Schools,5,170
2018 - 2019,DIV,Giles County Public Schools,6,158
2018 - 2019,DIV,Giles County Public Schools,7,182
2018 - 2019,DIV,Giles County Public Schools,8,186
2018 - 2019,DIV,Giles County Public Schools,9,179
2018 - 2019,DIV,Giles County Public Schools,10,216
2018 - 2019,DIV,Giles County Public Schools,11,172
2018 - 2019,DIV,Giles County Public Schools,12,212
2018 - 2019,DIV,Gloucester County Public Schools,,5408
2018 - 2019,DIV,Gloucester County Public Schools,PK,149
2018 - 2019,DIV,Gloucester County Public Schools,KG,353
2018 - 2019,DIV,Gloucester County Public Schools,1,386
2018 - 2019,DIV,Gloucester County Public Schools,2,368
2018 - 2019,DIV,Gloucester County Public Schools,3,403
2018 - 2019,DIV,Gloucester County Public Schools,4,411
2018 - 2019,DIV,Gloucester County Public Schools,5,421
2018 - 2019,DIV,Gloucester County Public Schools,6,395
2018 - 2019,DIV,Gloucester County Public Schools,7,372
2018 - 2019,DIV,Gloucester County Public Schools,8,377
2018 - 2019,DIV,Gloucester County Public Schools,9,480
2018 - 2019,DIV,Gloucester County Public Schools,10,462
2018 - 2019,DIV,Gloucester County Public Schools,11,441
2018 - 2019,DIV,Gloucester County Public Schools,12,390
2018 - 2019,DIV,Goochland County Public Schools,,2677
2018 - 2019,DIV,Goochland County Public Schools,PK,91
2018 - 2019,DIV,Goochland County Public Schools,KG,173
2018 - 2019,DIV,Goochland County Public Schools,1,192
2018 - 2019,DIV,Goochland County Public Schools,2,169
2018 - 2019,DIV,Goochland County Public Schools,3,183
2018 - 2019,DIV,Goochland County Public Schools,4,176
2018 - 2019,DIV,Goochland County Public Schools,5,207
2018 - 2019,DIV,Goochland County Public Schools,6,203
2018 - 2019,DIV,Goochland County Public Schools,7,216
2018 - 2019,DIV,Goochland County Public Schools,8,212
2018 - 2019,DIV,Goochland County Public Schools,9,215
2018 - 2019,DIV,Goochland County Public Schools,10,213
2018 - 2019,DIV,Goochland County Public Schools,11,203
2018 - 2019,DIV,Goochland County Public Schools,12,224
2018 - 2019,DIV,Grayson County Public Schools,,1542
2018 - 2019,DIV,Grayson County Public Schools,PK,45
2018 - 2019,DIV,Grayson County Public Schools,KG,125
2018 - 2019,DIV,Grayson County Public Schools,1,110
2018 - 2019,DIV,Grayson County Public Schools,2,119
2018 - 2019,DIV,Grayson County Public Schools,3,113
2018 - 2019,DIV,Grayson County Public Schools,4,99
2018 - 2019,DIV,Grayson County Public Schools,5,115
2018 - 2019,DIV,Grayson County Public Schools,6,129
2018 - 2019,DIV,Grayson County Public Schools,7,116
2018 - 2019,DIV,Grayson County Public Schools,8,123
2018 - 2019,DIV,Grayson County Public Schools,9,97
2018 - 2019,DIV,Grayson County Public Schools,10,125
2018 - 2019,DIV,Grayson County Public Schools,11,116
2018 - 2019,DIV,Grayson County Public Schools,12,110
2018 - 2019,DIV,Greene County Public Schools,,3001
2018 - 2019,DIV,Greene County Public Schools,PK,40
2018 - 2019,DIV,Greene County Public Schools,KG,188
2018 - 2019,DIV,Greene County Public Schools,1,199
2018 - 2019,DIV,Greene County Public Schools,2,209
2018 - 2019,DIV,Greene County Public Schools,3,215
2018 - 2019,DIV,Greene County Public Schools,4,246
2018 - 2019,DIV,Greene County Public Schools,5,242
2018 - 2019,DIV,Greene County Public Schools,6,247
2018 - 2019,DIV,Greene County Public Schools,7,238
2018 - 2019,DIV,Greene County Public Schools,8,246
2018 - 2019,DIV,Greene County Public Schools,9,248
2018 - 2019,DIV,Greene County Public Schools,10,235
2018 - 2019,DIV,Greene County Public Schools,11,226
2018 - 2019,DIV,Greene County Public Schools,12,222
2018 - 2019,DIV,Greensville County Public Schools,,2243
2018 - 2019,DIV,Greensville County Public Schools,PK,113
2018 - 2019,DIV,Greensville County Public Schools,KG,156
2018 - 2019,DIV,Greensville County Public Schools,1,138
2018 - 2019,DIV,Greensville County Public Schools,2,175
2018 - 2019,DIV,Greensville County Public Schools,3,143
2018 - 2019,DIV,Greensville County Public Schools,4,166
2018 - 2019,DIV,Greensville County Public Schools,5,207
2018 - 2019,DIV,Greensville County Public Schools,6,171
2018 - 2019,DIV,Greensville County Public Schools,7,165
2018 - 2019,DIV,Greensville County Public Schools,8,144
2018 - 2019,DIV,Greensville County Public Schools,9,156
2018 - 2019,DIV,Greensville County Public Schools,10,187
2018 - 2019,DIV,Greensville County Public Schools,11,147
2018 - 2019,DIV,Greensville County Public Schools,12,175
2018 - 2019,DIV,Halifax County Public Schools,,4960
2018 - 2019,DIV,Halifax County Public Schools,PK,290
2018 - 2019,DIV,Halifax County Public Schools,KG,370
2018 - 2019,DIV,Halifax County Public Schools,1,316
2018 - 2019,DIV,Halifax County Public Schools,2,306
2018 - 2019,DIV,Halifax County Public Schools,3,349
2018 - 2019,DIV,Halifax County Public Schools,4,358
2018 - 2019,DIV,Halifax County Public Schools,5,371
2018 - 2019,DIV,Halifax County Public Schools,6,369
2018 - 2019,DIV,Halifax County Public Schools,7,381
2018 - 2019,DIV,Halifax County Public Schools,8,363
2018 - 2019,DIV,Halifax County Public Schools,9,390
2018 - 2019,DIV,Halifax County Public Schools,10,385
2018 - 2019,DIV,Halifax County Public Schools,11,373
2018 - 2019,DIV,Halifax County Public Schools,12,339
2018 - 2019,DIV,Hampton City Public Schools,,19594
2018 - 2019,DIV,Hampton City Public Schools,PK,659
2018 - 2019,DIV,Hampton City Public Schools,KG,1415
2018 - 2019,DIV,Hampton City Public Schools,1,1424
2018 - 2019,DIV,Hampton City Public Schools,2,1380
2018 - 2019,DIV,Hampton City Public Schools,3,1458
2018 - 2019,DIV,Hampton City Public Schools,4,1451
2018 - 2019,DIV,Hampton City Public Schools,5,1472
2018 - 2019,DIV,Hampton City Public Schools,6,1547
2018 - 2019,DIV,Hampton City Public Schools,7,1379
